Drept Penal,51.  Termenul de reabilitare începe să curgă de la momentul:,"A. rămânerii definitive a hotărârii de condamnare, dacă pedeapsa cu executare aplicată este egală cu durata arestării preventive executate de inculpat anterior condamnării
B. împlinirii termenului de încercare (definitivare) al graţierii totale şi condiţionate, intervenite ulterior condamnării
C. rămânerii definitive a hotărârii prin care s-a dispus înlocuirea pedepsei amenzii cu închisoarea.",A
Drept Penal,59.  Pedeapsa detențiunii pe viață nu poate fi aplicată celor care:,"A. au împlinit vârsta de 60 de ani la data pronunțării hotărârii;
B. aveau vârsta de 65 de ani la data săvârșirii infracțiunii;
C. aveau vârsta de 70 de ani la data pronunțării hotărârii de condamnare.",BC
Drept Penal,56.  În cazul infracţiunii progresive:,"A. forma de vinovăţie este întotdeauna intenţia depăşită (praeterintenția)
B. nu este posibil niciodată coautoratul
C. elementul material poate consta şi într-o omisiune.",C
Drept Penal,53.  În cazul prescripției răspunderii penale:,"A. termenul de prescripție are aceeași durată indiferent dacă infracțiunea s-a consumat sau a rămas în forma tentativei
B. se poate dispune măsura de siguranță a confiscării extinse în cazul infracțiunii pentru care a intervenit prescripția
C. termenul prescripției speciale se calculează de la momentul ultimei întreruperi a cursului prescripției",A
Drept Penal,56.  Pedeapsa amenzii se înlocuiește cu închisoarea dacă persoana condamnată:,"A. nu o execută cu rea-credință în tot sau în parte;
B. nu îndeplinește cu rea-credință obligațiile civile stabilite prin hotărârea de condamnare;
C. săvârșește o nouă infracțiune cu intenție, anterior începerii executării sau înainte de executarea în întregime a acesteia.",A
Drept Penal,63.  La stabilirea cuantumului unei zile-amendă ca pedeapsă unică pentru persoana fizică se ține seama de:,"A. situația materială a condamnatului;
B. obligațiile legale ale condamnatului față de persoanele aflate în întreținerea sa;
C. valoarea folosului patrimonial obținut sau urmărit.",AB
Drept Penal,57.  Pedeapsa rezultantă a unui concurs de infracţiuni pentru care instanţa a stabilit doar pedepse cu închisoarea:,"A. poate fi, în anumite condiţii, detențiunea pe viaţă, chiar dacă legea nu prevede pentru niciuna dintre infracţiunile concurente această pedeapsă
B. poate ajunge până la totalul aritmetic al pedepselor stabilite pentru infracţiunile concurente
C. poate face obiectul renunţării la aplicarea pedepsei.",A
Drept Penal,58.  Nu poate opera niciodată cumulul aritmetic a două pedepse cu închisoarea în caz de:,"A. anulare a renunţării la aplicarea pedepsei
B. comitere a unei noi infracţiuni în cursul termenului de prescripţie a răspunderii penale pentru o altă infracţiune
C. revocare a amânării aplicării pedepsei.",BC
Drept Penal,62.  Încredințarea unui autoturism pentru a fi condus de o persoană pe drumurile publice constituie infracțiune:,"A. dacă persoana se află în stare de ebrietate, indiferent de nivelul alcoolemiei
B. chiar dacă persoana care conduce are permis de conducere, însă acesta este necorespunzător categoriei din care face parte autovehiculul condus
C. continuă",B
Drept Penal,52.  Constituie infracțiunea de omor calificat omorul comis în situația în care:,"A. X s-a gândit să o ucidă pe Y, colega sa de serviciu, din răzbunare pentru că aceasta fusese promovată înaintea lui, motiv pentru care X s-a documentat timp de câteva zile cu privire la diverse substanțe letale, iar apoi a cumpărat o astfel de substanță pe care a administrat-o timp de o săptămână în cafeaua lui Y, până ce substanța și-a făcut efectul, Y decedând, raportul de expertiză medico-legală arătând că Y era însărcinată în 10 săptămâni, aspect necunoscut de X
B. T, care executase anterior o pedeapsă cu închisoarea de 2 ani pentru infracțiunea de ucidere la cererea victimei, a ucis-o pe W, persoană minoră de sex feminin, iar ulterior, pentru ca fapta să nu fie descoperită, a secționat cadavrul și a incendiat părțile astfel rezultate, cenușa fiind ascunsă într-un recipient amplasat într-o groapă din pădure
C. la ora 20.30, Z a aflat că vecinul său V a retras de la bancomat o sumă importantă de bani, astfel încât a luat un cuțit din casă și a mers să-l aștepte pe V la un colț de stradă, pentru a-i lua banii, iar la ora 20.40, văzând că se apropie o persoană despre care a crezut că este V, a înjunghiat-o cu putere, de mai multe ori, în zona inimii, cu consecința decesului acesteia, luându-i portofelul, ulterior descoperindu-se că persoana înjunghiată nu era, în realitate, V",A
Drept Penal,"63.  Eroarea cu privire la caracterul ilicit al faptei prevăzute de legea penală:
[GRILĂ ANULATĂ]","A. înlătură caracterul nejustificat al faptei
B. poate conduce la reţinerea unei circumstanţe atenuante judiciare
C. produce aceleaşi efecte ca eroarea asupra elementelor constitutive",B
Drept Penal,"67.  X a pătruns noaptea într-un depozit de materiale de construcţii cu intenţia de a sustrage 3 cutii de faianţă pentru a-şi renova bucătăria. După ce a pătruns în interior a realizat că i-ar fi utile şi alte materiale de construcţie (nisip, ciment, adeziv, etc.), dar şi-a dat seama că dacă le-ar sustrage şi pe acestea nu ar avea unde să le depoziteze. De aceea l-a sunat pe prietenul sau P, i-a spus în ce situaţie se află şi l-a întrebat dacă ar fi de acord ca materialele sustrase să fie depozitate la el, pentru că altfel nu ar avea rost să le sustragă. P a fost de acord să depoziteze bunurile în garajul său până ce X va avea nevoie de ele. După ce a descărcat bunurile sustrase în garaj, X a fost prins de poliţie. În cauză:","A. nu se va putea reţine infracţiunea de tăinuire în sarcina lui P
B. în sarcina lui X se va reţine infracţiunea de furt calificat în concurs cu instigare la infracţiunea de tăinuire
C. se va putea reţine infracţiunea de favorizarea făptuitorului în sarcina lui P, dar nu se va putea reţine instigare la favorizarea făptuitorului în sarcina lui X.",A
Drept Penal,74.  În ceea ce privește infracțiunea de abandon de familie:,"A. are întotdeauna, ca subiect pasiv, un membru de familie al autorului faptei
B. neplata cu rea-credință, timp de trei luni, a pensiei de întreținere stabilite prin aceeași hotărâre judecătorească, față de doi copii, unul minor, iar altul major, aflat în continuarea studiilor, constituie două infracțiuni de abandon de familie, aflate în concurs
C. nu se va reține în sarcina celui față de care s-a dispus clasarea pentru infracțiunea de ucidere din culpă, în cazul în care nu a executat cu rea-credință prestațiile periodice stabilite prin hotărâre judecătorească de instanța civilă, în favoarea moștenitorilor victimei",C
Drept Penal,51.  În ipoteza cauzei justificative a stării de necesitate:,"A. este necesar ca acțiunea de salvare să se îndrepte împotriva persoanei care a cauzat starea de pericol
B. fapta tipică săvârșită pentru salvarea valorii sociale nu poate fi comisă de o persoană juridică
C. starea de pericol poate fi cauzată de comportamentul spontan al unui animal domestic",C
