Drept Procesual Civil,"21.  A - în calitate de vânzător, a încheiat cu B - în calitate de cumpărător, la data de 02.2014, un contract de vânzare cu privire la un bun mobil, preţul acceptat de părţi fiind de 120.000 de lei. Acest preţ urma să fie achitat de către cumpărător în 60 de zile de la data perfectării vânzării. De asemenea, la data încheierii contractului de vânzare, bunul mobil a fost predat cumpărătorului. La data scadenţei, cumpărătorul B nu şi-a executat obligaţia de plată. În acest context, vânzătorul A vă solicită ajutorul, în calitate de avocat, pentru formularea şi depunerea unei cereri de rezoluţiune a acestei vânzări. Cu privire la această cerere de chemare în judecată:","A. aceasta este de competenţa materială a tribunalului, dacă nu se solicită, pe lângă rezoluţiune, şi repunerea părţilor în situaţia anterioară, în acest caz fiind o cerere neevaluabilă în bani
B. aceasta nu este evaluabilă în bani dacă, pe lângă rezoluţiune, nu se formulează şi o cerere privind repunerea părţilor în situaţia anterioară
C. aceasta este evaluabilă în bani, indiferent dacă se solicită sau nu, pe lângă rezoluţiune, şi repunerea părţilor în situaţia anterioară, competenţa materială aparţinând judecătoriei",C
Drept Procesual Civil,41.  Reprezintă o excepţie de la aplicarea principiului nemijlocirii:,"A. cazul administrării probei cu expertiza judiciară atunci când aceasta presupune o lucrare la faţa locului
B. cazul administrării probelor prin comisie rogatorie
C. cazul administrării probelor direct în instanţa de apel",B
Drept Procesual Civil,"60.  AA, în calitate de reclamant, introduce prin mandatar neavocat MM, în contradictoriu cu pârâtul BB, o cerere de chemare în judecată prin care solicită lăsarea în deplină proprietate și pașnică folosință imobilul situat la adresa Y. La cerere nu se anexează și înscrisul doveditor al calității de mandatar neavocat a lui MM. După comunicarea cererii de chemare în judecată, pârâtul BB:","A. este obligatoriu să invoce prin întâmpinare excepția lipsei dovezii calității de reprezentant pentru a evita sancțiunea decăderii, excepția fiind de ordine privată
B. este în drept să invoce excepția lipsei dovezii calității de reprezentant în tot cursul judecății în primă instanță, cât și direct în calea de atac
C. este în drept să invoce excepția lipsei dovezii calității de reprezentant în tot cursul judecății în primă instanță",C
Drept Procesual Civil,49.  Nu este adevărat că:,"A. prin cererea reconvenţională, pârâtul poate chema în judecată şi alte persoane pe lângă reclamantul din cererea principală
B. în cazul modificării cererii de chemare în judecată, legea prevede expres că întâmpinarea trebuie formulată în termen de 10 zile de la comunicarea cererii modificate
C. întâmpinarea față de cererea de chemare în judecată modificată va fi cercetată de reclamant la dosarul cauzei",B
Drept Procesual Civil,46.  În cazul în care fostul soț al judecătorului este afin de gradul II cu una dintre părți:,"A. partea interesată poate cere recuzarea judecătorului înainte de începerea oricărei dezbateri, dacă motivul i- a fost cunoscut anterior acestui moment
B. judecătorul nu poate participa la judecată, chiar dacă nu s-a abținut ori nu a fost recuzat
C. judecătorul este incompatibil, fiind incident un caz de incompatibilitate absolută",A
Drept Procesual Civil,"52.  AA formulează o cerere de chemare în judecată împotriva pârâtului BB solicitând obligarea acestuia la plata unei sume de bani. Prin întâmpinare, pârâtul BB solicită respingerea cererii de chemare în judecată, solicitând și judecarea cauzei în lipsă. Prin sentința pronunțată de instanţa de fond, cererea de chemare în judecată este respinsă ca neîntemeiată. Reclamantul AA formulează apel iar intimatul-pârât BB nu formulează întâmpinare la apel. La primul termen în apel, instanța constatând lipsa nejustificată a ambelor părți, legal citate şi că niciuna dintre părţi nu a cerut judecarea în lipsă, pentru faza apelului, dispune suspendarea judecării apelului. Intimatul-pârât BB formulează recurs după 35 de zile de la comunicare încheierii de suspendare, motivat de faptul că a solicitat judecarea în lipsă la prima instanţă, iar apelantul-reclamant AA, prin întâmpinare la recurs, invocă tardivitatea recursului. În acest caz instanţa de recurs:","A. va respinge excepția tardivității recursului;
B. va respinge recursul ca nefondat;
C. va admite recursul, va casa încheierea de suspendare și va trimite cauza pentru continuarea soluționării",AB
Drept Procesual Civil,"43.  Prin cererea de chemare în judecată formulată de către AA și depusă la Judecătoria C., reclamantul AA, în contradictoriu cu pârâtul BB solicită constatarea nulității absolute a contractului de vânzare a imobilului situat în București, în valoare de 250.000 lei, încheiat între AA și BB și repunerea părților în situația anterioară. În acest caz:","A. acțiunea formulată este personală imobiliară;
B. competența de soluționare aparține tribunalului, acțiunea fiind evaluabilă în bani;
C. competența teritorială aparține exclusiv instanței de la locul situării imobilului.",AB
Drept Procesual Civil,51.  Termenul procedural:,"A. indiferent de unitatea de timp în care este stabilit, se prelungește până în prima zi lucrătoare care urmează, dacă ultima zi a termenului cade într-o zi nelucrătoare
B. nu se întrerupe atunci când, după ce termenul a început să curgă, a intervenit moartea părții, deoarece în acest caz se va face o nouă comunicare la ultimul domiciliu al părții decedate, pe numele moștenirii, fără
C. începe să curgă, dacă legea nu dispune altfel, de la data comunicării actului de procedură, considerânduse că actul a fost comunicat părții și în cazul în care aceasta a primit sub semnătură o copie de pe act ori",AC
Drept Procesual Civil,"51.  Judecătoria Sfântu Gheorghe a soluționat în primă instanță o cerere de partaj succesoral. Tribunalul Covasna, învestit cu judecarea căii de atac, a dispus prin încheiere suspendarea judecății, apreciind că dezlegarea cauzei depinde de existenţa ori inexistenţa unui drept care face obiectul unei alte judecăţi. Împotriva acestei încheieri:","A. partea interesată va putea formula recurs, care este admisibil şi în cazul în care este exercitat împotriva încheierii de suspendare a judecății pronunţate de instanţa de apel, chiar dacă în prezentul litigiu apelul este ultima cale de atac de reformare
B. se poate formula recurs în termen de 5 zile de la comunicarea încheierii de suspendare a judecății
C. recursul este inadmisibil deoarece hotărârea Tribunalului Covasna este, potrivit legii, definitivă",A
Drept Procesual Civil,"26.  În cursul judecății apelului declarat împotriva hotărârii primei instanțe, de către apelantul- reclamant AA, în contradictoriu cu intimatul-pârât BB, terțul intervenient CC, formulează o cerere de intervenție accesorie în favoarea intimatului-pârât BB. După admiterea în principiu a cererii de intervenție, intervenientul CC formulează o cerere de chemare în garanție a terțului DD pentru ca acesta să suporte despăgubirile la care ar urma să fie obligat intimatul-pârât BB în eventualitatea în care ar cădea în pretenții față de apelantul-reclamant AA. În acest context:","A. cererea de chemare în garanție este admisibilă în principiu, întrucât este promovată de intervenientul care poate formula cerere de intervenție accesorie în apel
B. cererea de chemare în garanție formulată de intervenientul accesoriu CC este inadmisibilă
C. cu privire la cererea de chemare în garanție formulată de intervenientul accesoriu CC, instanţa o va respinge ca lipsită de interes, după admiterea în principiu a acesteia",B
